fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220425 015153	0	0	0	1	auto	depthwise	256	0	1	0.0162907123431212	0.534498622189735	9	12	0.0123545963822491	156	13378000	70
20220425 020335	0	0	0	1	auto	depthwise	256	0	1	0.0217917220193507	0.501090194996772	8	13	0.0129477272623162	99	13185000	71
20220425 020651	0	0	0	1	auto	depthwise	256	0	1	0.0477123155787424	0.448425107366905	9	3	0.0145224315053367	164	13461000	72
20220425 020931	0	0	0	1	auto	depthwise	256	0	1	0.112393072753442	0.998154233757109	1	2	0.0111391667182005	109	12387000	73
20220425 021546	0	0	0	1	auto	depthwise	256	0	1	0.194305260326295	0.970354064404179	10	30	0.012328558751329	26	12110000	74
20220425 022303	0	0	0	1	auto	depthwise	256	0	1	0.0805127519551042	0.556982481485356	10	30	0.0141285265568339	64	12925000	75
20220425 022348	0	0	0	1	auto	depthwise	256	0	1	0.211608908787055	0.261953604091571	10	2	0.0184239777725602	49	12862000	76
20220425 022805	0	0	0	1	auto	depthwise	256	0	1	0.115439837512809	0.637643343151874	10	16	0.0132358012931801	15	12751000	77
20220425 023000	0	0	0	1	auto	depthwise	256	0	1	0.202170111704746	0.202560309837071	10	30	0.0216170283371515	22	11051000	78
20220425 023124	0	0	0	1	auto	depthwise	256	0	1	0.158995939585663	0.571467516975987	8	2	0.0176128482114663	72	13299000	79
20220425 023258	0	0	0	1	auto	depthwise	256	0	1	0.178216676555887	0.446236586170288	10	2	0.0147857777930713	126	13122000	80
20220425 023406	0	0	0	1	auto	depthwise	256	0	1	0.154730890952694	0.323457596562791	10	2	0.0179935775479407	90	12787000	81
20220425 023507	0	0	0	1	auto	depthwise	256	0	1	0.187590486747602	0.212869837857022	8	2	0.0168969143968048	114	13098000	82
20220425 023655	0	0	0	1	auto	depthwise	256	0	1	0.193776992632916	0.913665753670197	9	2	0.0171926358284016	76	12644000	83
20220425 024143	0	0	0	1	auto	depthwise	256	0	1	0.0374978336089236	0.515156267037218	10	7	0.0141343126008169	49	13308000	84
20220425 030228	0	0	0	1	auto	depthwise	256	0	1	0.0111959482638894	0.469214139068214	10	17	0.0130846732061384	160	13402000	85
20220425 030455	0	0	0	1	auto	depthwise	256	0	1	0.117002714976176	0.6201603910195	8	2	0.0146645314239841	160	13175000	86
20220425 034305	0	0	0	1	auto	depthwise	256	0	1	0.0100028782882157	0.779378044840834	10	20	0.013679621382791	213	13703000	87
20220425 034755	0	0	0	1	auto	depthwise	256	0	1	0.0575345318507515	0.739473369143395	9	2	0.0179886516879427	335	12837000	88
20220425 034955	0	0	0	1	auto	depthwise	256	0	1	0.159089410933924	0.346265836750542	6	2	0.0125737795677808	211	13421000	89
20220425 035609	0	0	0	1	auto	depthwise	256	0	1	0.143914931647713	0.848032288640186	7	30	0.0128857665846458	8	12186000	90
20220425 035755	0	0	0	1	auto	depthwise	256	0	1	0.0570484121409846	0.30006560705203	7	2	0.0126320625847295	138	13031000	91
20220425 035905	0	0	0	1	auto	depthwise	256	0	1	0.160411944234814	0.360197387544129	6	2	0.0152743584032867	86	13353000	92
20220425 044817	0	0	0	1	auto	depthwise	256	0	1	0.0100924575460113	0.956567033483562	6	21	0.0127204968408141	160	12945000	93
20220425 045810	0	0	0	1	auto	depthwise	256	0	1	0.0416394811531833	0.677196912157966	10	19	0.0138662337519923	52	12972000	94
20220425 050058	0	0	0	1	auto	depthwise	256	0	1	0.164969020192842	0.479122139234009	10	12	0.013848801503748	19	12409000	95
20220425 050240	0	0	0	1	auto	depthwise	256	0	1	0.174041447029024	0.566353895532792	4	4	0.012184560635285	30	12867000	96
20220425 053259	0	0	0	1	auto	depthwise	256	0	1	0.0100405709496174	0.614019967021497	10	20	0.0118377707755587	192	13407000	97
20220425 060620	0	0	0	1	auto	depthwise	256	0	1	0.0100573315527124	0.691348901679373	10	28	0.013623463374627	162	13306000	98
20220425 061105	0	0	0	1	auto	depthwise	256	0	1	0.0439676864590789	0.200042519657754	10	11	0.0125623549743465	158	12795000	99
