fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 221548	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.104936359920164	0.54012175195021	7702	619	0.0155276379453966	13067000	41
20220423 221611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.109177546272681	0.667810532283451	4023	589	0.0168492123965144	13399000	42
20220423 221631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.214955432128455	0.35494345173757	7829	776	0.0173016554190682	12626000	43
20220423 221650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.129355572450818	0.280471457279231	7033	29	0.0160487398002399	12916000	44
20220423 221717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	78	TRUE	0.127689394257521	0.545800145356406	7801	235	0.0115512306655083	12541000	45
20220423 221746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	102	TRUE	0.111772571976634	0.849953929473506	3874	845	0.00833640053119264	11873000	46
20220423 221758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.262712311253533	0.200902095456389	7996	637	0.0243384663304581	12129000	47
20220423 221941	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.0182835535365274	0.367474648580153	7963	190	0.0165016090054877	13385000	48
20220423 222137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	564	TRUE	0.0182712375044474	0.284149537909137	7976	21	0.0254077899431116	11912000	49
20220423 222148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.29995773540277	0.690837465077229	6066	1024	0.0159122999152965	12837000	50
20220423 222438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	394	TRUE	0.0102075067249471	0.536743178702982	4081	86	0.0165094145646367	13857000	51
20220423 222747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	622	TRUE	0.0100446224133293	0.544424540126921	6019	197	0.0165234668071902	13713000	52
20220423 222803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.164853495566924	0.750413563494259	6682	1024	0.0168018942755569	12637000	53
20220423 222818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.29965348879789	0.205906580211744	4236	1024	0.0197547572533377	12481000	54
20220423 222834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.295389092391847	0.203800143962467	3748	1013	0.011689806582387	12159000	55
20220423 223053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	745	TRUE	0.0102498685464966	0.728890818391933	6767	16	0.00845829893702284	11554000	56
20220423 223108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.299485950491026	0.535186846921492	7949	66	0.0172166554739157	13013000	57
20220423 223123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.299949779051053	0.495276092932835	6155	476	0.0167252629438941	12720000	58
20220423 223138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.150718287275467	0.747441665177063	8000	195	0.0165160273137052	13202000	59
20220423 223341	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	463	TRUE	0.0101371453946692	0.203331671844489	7703	1011	0.0283148440232653	11552000	60
20220423 223355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.201337326670525	0.555221345823257	4149	16	0.0156407483460543	12405000	61
20220423 223407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.17017466332491	0.997516427089879	7993	451	0.0266931664420287	11705000	62
20220423 223424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.105509498996079	0.990192452432021	7988	1020	0.0118124872361111	12274000	63
20220423 223758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	826	TRUE	0.0101594687441219	0.216522026647558	3792	164	0.0166881476888614	13341000	64
20220423 224117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	554	TRUE	0.0100760196519733	0.561437801386396	3828	477	0.0169064748979091	13749000	65
20220423 224356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	634	TRUE	0.0102651378599554	0.75610088325564	4007	543	0.0155282133747262	13421000	66
20220423 224544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	265	TRUE	0.0189163173743084	0.500125294484326	3949	804	0.0162732888311066	13641000	67
20220423 225147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	469	TRUE	0.0100168669704128	0.201266559262536	893	631	0.0169102519719193	13289000	68
20220423 225410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	469	TRUE	0.0100209769948398	0.654158193753764	4059	183	0.0157295300142798	13607000	69
20220423 225649	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	575	TRUE	0.0100027442734537	0.99912032056835	3792	607	0.0135168666247979	12992000	70
20220423 230131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	404	TRUE	0.0104713964497239	0.522633222940215	1434	717	0.0159684570663141	13301000	71
20220423 230432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	657	TRUE	0.0100441898704922	0.515953969258373	7747	168	0.0165858477661089	13411000	72
20220423 230444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.284602742806633	0.675386333767453	8000	573	0.0164148681671926	13057000	73
20220423 230511	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.106798440958863	0.200208644626292	7958	453	0.0167061681794137	13389000	74
20220423 230940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	795	TRUE	0.0108895987957727	0.200129610545286	2088	745	0.0244750838563456	12261000	75
